분류,이름,주소,전화번호,대표사진주소
실내동물원,라온쥬,제주특별자치도 제주시 한림읍 월림리 2365 더마파크 내,064-795-8080,
관광안내소,제주올레16코스 공식안내소,제주특별자치도 제주시 애월읍 고내리 1103-1,070-4060-0613,
동굴,김녕사굴,제주특별자치도 제주시 구좌읍 김녕리 201-4,064-710-7901,
드라이브코스,해안도로입구 옹포귀덕,제주특별자치도 제주시 한림읍 한림해안로 23,,
"해수욕장,해변",코난해변,제주특별자치도 제주시 구좌읍 행원리 575-6,,
"릉,묘,총",감사공묘역,제주특별자치도 제주시 조천읍 함대로 362,,
드라이브코스,월정리해안도로,제주특별자치도 제주시 구좌읍 월정리 652-4,,
동물원,개똥이동물원,제주특별자치도 제주시 조천읍 종인내길 135,064-759-0017,
관광안내소,제주올레19코스 공식안내소,제주특별자치도 제주시 조천읍 조천북6길 44,070-4060-0614,
"관광,명소",테쉬폰,제주특별자치도 제주시 한림읍 금악리 135,,
"탑,비석",복자 김기량 순교현양비,제주특별자치도 제주시 조천읍 일주동로 1216,,
"관광,명소",생이기정,제주특별자치도 제주시 한경면 용수리,,
"산성,성곽",제주성지,제주특별자치도 제주시 오현길 61 외 35필지,,
"향교,서당",제주향교,제주특별자치도 제주시 서문로 47,064-757-0976,
숲,편백나무숲,제주특별자치도 제주시 아라일동 산 31-8,,
관광단지,새별오름관광타운,제주특별자치도 제주시 애월읍 평화로 1529,064-792-6103,
오름,세미양오름,제주특별자치도 제주시 아라일동 산 24-2 일대,,
바위,절부암,제주특별자치도 제주시 한경면 용수리 4241-5,064-728-4235,
오름,당오름,제주특별자치도 제주시 구좌읍 송당리 산 199-1,,
"수목원,식물원",비블리아성서식물원,제주특별자치도 제주시 한림읍 조성로 17,064-796-1130,
계곡,방선문 계곡,제주특별자치도 제주시 오등동,,
오름,족은노꼬메오름,제주특별자치도 제주시 애월읍 유수암리 산 138,,
관광농원,귤의 정원 바령,제주특별자치도 제주시 조천읍 선흘리 1396,010-2400-8784,
관광안내소,제주올레18코스 공식안내소,제주특별자치도 제주시 관덕로8길 7-9,070-4060-0616,
온천,과물노천탕,제주특별자치도 제주시 애월읍 곽지리 1566,,
"산성,성곽",명월성지,제주특별자치도 제주시 한림읍 명월리 2237,,
오름,동검은이오름,제주특별자치도 제주시 구좌읍 종달리 산 70,,
도보여행,제주대벚꽃길,제주특별자치도 제주시 아라일동,,
오름,높은오름,제주특별자치도 제주시 구좌읍 송당리 산 213-1,,
숲,비자림로삼나무숲,제주특별자치도 제주시 구좌읍 송당리 2231-1,,
문화유적,송당본향당,제주특별자치도 제주시 구좌읍 송당리 산 199-1,064-728-7712,
"관광,명소",김녕금속공예벽화마을,제주특별자치도 제주시 구좌읍 김녕리 4026,,
테마파크,무병장수테마파크,제주특별자치도 제주시 애월읍 어음13길 196,064-799-7720,
"사당,제단",오현단,제주특별자치도 제주시 오현길 61,,
관광안내소,제주올레14코스 공식안내소,제주특별자치도 제주시 한경면 저지리 1843-4,070-4060-0611,
동굴,도저굴,제주특별자치도 제주시 용담2동,,
"수목원,식물원",우도정원,제주특별자치도 제주시 우도면 연평리 1964,,
관광농원,오등감귤체험관광농원펜션,제주특별자치도 제주시 오등14길 8-15,064-746-4738,
오름,천아오름,제주특별자치도 제주시 애월읍 광령리 산 182-1,,
산봉우리,고내봉,제주특별자치도 제주시 애월읍 고내리 산 3-1,,
테마거리,도두추억애거리,제주특별자치도 제주시 도두일동,,
숲,산양곶자왈,제주특별자치도 제주시 한경면 청수리 6,,
오름,바농오름,제주특별자치도 제주시 조천읍 교래리 산 108,,
도보여행,별도봉산책로,제주특별자치도 제주시 화북일동 4558,,
도보여행,수산봉둘레길,제주특별자치도 제주시 애월읍 구엄리,,
오름,돛오름,제주특별자치도 제주시 구좌읍 송당리 산 3,,
"산성,성곽",북촌환해장성,제주특별자치도 제주시 조천읍 북촌리 1330,,
오름,가마오름,제주특별자치도 제주시 한경면 청수리 1202-1,,
"관광,명소",월령코지,제주특별자치도 제주시 한림읍 월령리,,
광장,탐라문화광장,제주특별자치도 제주시 일도1동 1146-22,,
테마거리,왕벚꽃거리,제주특별자치도 제주시 애월읍 장전리 1167-9,,
자전거여행,해거름마을공원 인증센터,제주특별자치도 제주시 한경면 판포리 1608-4,,
오름,절물오름,제주특별자치도 제주시 봉개동 산 78-1,,
유적지,선인장자생지,제주특별자치도 제주시 한림읍 월령리,,
오름,누운오름,제주특별자치도 제주시 한림읍 금악리 198-15,064-740-6000,
오름,과오름,제주특별자치도 제주시 애월읍 곽지리 산 4,,
오름,광이오름,제주특별자치도 제주시 연동 산 62,,
오름,어도오름,제주특별자치도 제주시 애월읍 봉성리 3920-35,,
"샘터,약수터",중엄새물,제주특별자치도 제주시 애월읍 신엄리,,
저수지,용수저수지,제주특별자치도 제주시 한경면 용수리,,
"관광,명소",관곶,제주특별자치도 제주시 조천읍 신흥리,,
유적지,진아영 할머니 삶터,제주특별자치도 제주시 한림읍 월령1길 22,,
"생태보존,서식지",납읍난대림지역,제주특별자치도 제주시 애월읍 납읍리 1457-1,,
,한라산둘레길 천아숲길,,,
오름,우진제비오름,제주특별자치도 제주시 조천읍 선흘리 산 112,,
관광안내소,제주올레21코스 공식안내소,제주특별자치도 제주시 구좌읍 상도리 471-43,070-4060-0615,
드라이브코스,표선~세화해안도로,제주특별자치도 제주시 구좌읍 하도리,,
오름,안세미오름,제주특별자치도 제주시 봉개동 산 2,,
관광농원,새미동산,제주특별자치도 제주시 조천읍 종인내길 133,064-759-0017,
"샘터,약수터",한라산 성판악입구약수터,제주특별자치도 제주시 조천읍 교래리,,
"관광,명소",창고망난돌,제주특별자치도 제주시 조천읍 북촌15길 15,,
"관광,명소",쇠물깍,제주특별자치도 제주시 조천읍 신흥리 59-10,,
오름,민오름,제주특별자치도 제주시 봉개동 산 64 일대,,
관광안내소,제주올레15코스 공식안내소,제주특별자치도 제주시 한림읍 대림리 2019-17,070-4060-0612,
호수,하가못,제주특별자치도 제주시 애월읍 하가리,,
,한라산국립공원 석굴암탐방로,,,
오름,세미오름,제주특별자치도 제주시 조천읍 대흘리 산 27-8,,
카지노,제주드림타워 카지노,제주특별자치도 제주시 노연로 12,,
오름,손자봉,제주특별자치도 제주시 구좌읍 종달리 산 52,,
오름,알밤오름,제주특별자치도 제주시 조천읍 선흘리 산 59-2,,
바위,방선문,제주특별자치도 제주시 오라이동 3819-11,,
동물원,돈키쥬쥬,제주특별자치도 제주시 은수길 65 수목원테마파크 내,064-755-5920,
산,한라산1100고지,제주특별자치도 서귀포시 색달동 산 1-2,,
유적지,빌레못굴,제주특별자치도 제주시 애월읍 어음리 1391,,
숲,숫모르숲길,제주특별자치도 제주시 516로 2596,,
"관광,명소",금성천 정자,제주특별자치도 제주시 애월읍 금성리 569-4,,
"관광,명소",서우봉 일몰지,제주특별자치도 제주시 조천읍 함덕리 129,,
문화유적,제주삼양동유적,제주특별자치도 제주시 선사로2길 13,064-710-6806,
오름,거친오름,제주특별자치도 제주시 봉개동 산 66 일대,,
섬,토끼섬,제주특별자치도 제주시 구좌읍 해맞이해안로 1852,,
"생태보존,서식지",저지곶자왈,제주특별자치도 제주시 한림읍 금악리,,
오름,바굼지오름,제주특별자치도 제주시 애월읍 상귀리 332,,
"해수욕장,해변",톨칸이해변,제주특별자치도 제주시 우도면 연평리,064-728-4333,
"산성,성곽",곤을동환해장성,제주특별자치도 제주시 화북일동 4346,,
,한라산국립공원 영실탐방로,,,
숲,엉앙길,제주특별자치도 제주시 한경면 고산리,,
저수지,남생이못,제주특별자치도 제주시 조천읍 신촌리,,
오름,열안지오름,제주특별자치도 제주시 봉개동 778-2,,
오름,삼무공원 베두리오름,제주특별자치도 제주시 연동,,
호수,연화못,제주특별자치도 제주시 한경면 청수리 3333-1,,
오름,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 124 일대,,
전망대,고래전망대,제주특별자치도 제주시 애월읍 신엄리 2802-1,,
유적지,광해군유배지,제주특별자치도 제주시 이도일동 1474-1,,
드라이브코스,해안도로입구 금릉동쪽방면,제주특별자치도 제주시 한림읍 금능길 119-10,,
유적지,다랑쉬굴,제주특별자치도 제주시 구좌읍 세화리 2608-3,,
오름,물찻오름,제주특별자치도 제주시 조천읍 교래리 산 137-1,,
,아라동역사문화탐방로 2코스,,,
"관광,명소",귀빈사,제주특별자치도 제주시 구좌읍 송당리 산 156,,
"관광,명소",답다니탑망대,제주특별자치도 제주시 우도면 연평리,,
유적지,제주고산리유적,제주특별자치도 제주시 한경면 고산리 3628,064-772-0041,
오름,밝은오름,제주특별자치도 제주시 해안동 465,,
오름,카카오오름,제주특별자치도 제주시 첨단로 242,,
하천,천미천,제주특별자치도 제주시 구좌읍 송당리,,
문화유적,향사당,제주특별자치도 제주시 중앙로12길 29,,
"생태보존,서식지",하도리철새도래지,제주특별자치도 제주시 구좌읍 하도리,,
테마거리,남수각하늘길벽화거리,제주특별자치도 제주시 일도일동 1095-11,,
오름,큰지그리오름,제주특별자치도 제주시 조천읍 교래리 산 119,,
테마파크,제주포크테마파크,제주특별자치도 제주시 애월읍 평화로 2119,,
오름,봉아오름,제주특별자치도 제주시 봉개동 1804,,
테마거리,조천비석거리,제주특별자치도 제주시 조천읍 조천리 3470,064-782-6420,
오름,묘산봉,제주특별자치도 제주시 구좌읍 김녕리 2723,,
산봉우리,둔지봉,제주특별자치도 제주시 구좌읍 한동리 산 40,,
호수,백록담,제주특별자치도 서귀포시 토평동 산 15-1,,
오름,비양봉,제주특별자치도 제주시 한림읍 협재리 산 100-1,,
관광안내소,절물자연휴양림 안내데스크,제주특별자치도 제주시 명림로 584,,
"산성,성곽",애월환해장성,제주특별자치도 제주시 애월읍 애월로3길 60,,
산봉우리,오등봉,제주특별자치도 제주시 오등동 1661,,
"수목원,식물원",한라수목원 화목원,제주특별자치도 제주시 수목원길 72,,
자연휴양림,붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,064-782-9171,
오름,안오름,제주특별자치도 제주시 애월읍 고성리,,
섬,제주도,제주특별자치도 제주시 오등동 산 182,,
테마파크,펀테마파크,제주특별자치도 제주시 조천읍 선교로 266-4,,
오름,밧돌오름,제주특별자치도 제주시 구좌읍 송당리 산 66-1,,
"릉,묘,총",황경한의 묘,제주특별자치도 제주시 추자면 신양리 산 20-1,,
오름,알오름,제주특별자치도 제주시 화북일동 4504,,
카지노,제주오리엔탈호텔 카지노,제주특별자치도 제주시 탑동로 47,064-754-8867,
전망대,산지천 전망대,제주특별자치도 제주시 건입동 1316-10,,
섬,대섬,제주특별자치도 제주시 조천읍 신북로 121-6,,
문화유적,와흘본향당,제주특별자치도 제주시 조천읍 와흘리 1274-1,,
산,한라산,제주특별자치도 서귀포시 서홍동 산 1-1,,
문화유적,외도월대,제주특별자치도 제주시 외도이동 2551,,
오름,골체오름,제주특별자치도 제주시 조천읍 선흘리 1912,,
"관광,명소",하가리연꽃마을,제주특별자치도 제주시 애월읍 하가리 1569-2,,
문화유적,명월대,제주특별자치도 제주시 한림읍 명월리 2223,064-728-7614,
드라이브코스,해안도로입구 금릉서쪽방면,제주특별자치도 제주시 한림읍 한림로 154-2,,
"수목원,식물원",솔트리감성수목원,제주특별자치도 제주시 구좌읍 번영로 2063,,
드라이브코스,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리,,
테마파크시설,고스트타운 고스트하우스,제주특별자치도 제주시 애월읍 부룡수길 35-14,064-748-4245,
오름,오구시오름,제주특별자치도 제주시 오등동 570-1,,
오름,안친오름,제주특별자치도 제주시 구좌읍 송당리 808,,
"탑,비석",시비코지,제주특별자치도 제주시 조천읍 신촌리,,
오름,입산봉,제주특별자치도 제주시 구좌읍 김녕리 1037-2,,
오름,판포오름,제주특별자치도 제주시 한경면 판포리 934,,
둘레길,저지오름둘레길,제주특별자치도 제주시 한경면 저지리,,
오름,개월이오름,제주특별자치도 제주시 봉개동 산 78-1 일대,,
테마거리,서부두명품횟집거리,제주특별자치도 제주시 건입동,,
"산성,성곽",삼양환해장성,제주특별자치도 제주시 삼양삼동 2622-1,,
전망대,해오름전망대,제주특별자치도 제주시 한경면 판포리,,
테마거리,전농로왕벚꽃거리,제주특별자치도 제주시 삼도일동 585-30,,
문화유적,모충사,제주특별자치도 제주시 사라봉길 75,064-722-0614,
"관광,명소",나바론절벽,제주특별자치도 제주시 추자면 영흥리,,
관광농원,맛동산정우농장,제주특별자치도 제주시 애월읍 광령2길 62-1,010-2696-8030,
오름,노로오름,제주특별자치도 제주시 애월읍 상가리 산 124,,
"산성,성곽",한동환해장성,제주특별자치도 제주시 구좌읍 한동리 1696-9,,
오름,파군봉,제주특별자치도 제주시 애월읍 하귀1리 688-1,,
"사당,제단",해신사,제주특별자치도 제주시 진북길 13-1,,
"산성,성곽",동복 환해장성,제주특별자치도 제주시 구좌읍 동복리 687-2,,
오름,민오름,제주특별자치도 제주시 조천읍 선흘리 산 142,,
오름,어대오름,제주특별자치도 제주시 구좌읍 덕천리 509-1,,
카지노,파라다이스카지노 메종글래드제주점,제주특별자치도 제주시 노연로 80,064-740-7773,
동굴,검멀레동굴,제주특별자치도 제주시 우도면 연평리,,
문화유적,제주서우봉 일제동굴진지,제주특별자치도 제주시 조천읍 북촌리 산 86,,
관광안내소,제주한라산국립공원 관리사무소 탐방안내소,제주특별자치도 제주시 1100로 2070-61,064-713-9950,
"관광,명소",오래물,제주특별자치도 제주시 도두일동 2559-4,,
동굴,당처물동굴,제주특별자치도 제주시 구좌읍 월정리 1457,064-710-8997,
오름,민오름,제주특별자치도 제주시 구좌읍 송당리 산 156,,
오름,사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,,
"해수욕장,해변",후포해변,제주특별자치도 제주시 추자면 대서리 267,,
"관광,명소",고내포구 우주물,제주특별자치도 제주시 애월읍 고내리 1111-2,,
숲,무수천숲길,제주특별자치도 제주시 해안동,,
오름,저지오름,제주특별자치도 제주시 한경면 저지리 51,,
관광안내소,제주고산리유적안내센터,제주특별자치도 제주시 한경면 노을해안로 1100,064-772-0041,
"산성,성곽",행원환해장성,제주특별자치도 제주시 구좌읍 행원리 80-5,,
동굴,한림공원 쌍용굴,제주특별자치도 제주시 한림읍 협재리,,
오름,물장오리(물장올),제주특별자치도 제주시 봉개동 산 78-38,,
관광안내소,사려니숲길 관광안내소,제주특별자치도 서귀포시 표선면 가시리 산 158,064-900-8800,
저수지,한밝저수지,제주특별자치도 제주시 해안동,064-742-2981,
오름,성불오름,제주특별자치도 제주시 구좌읍 송당리 산 266,,
유적지,잃어버린 마을 다랑쉬마을,제주특별자치도 제주시 구좌읍 세화리 2663-2,,
테마거리,화북비석거리,제주특별자치도 제주시 화북일동 4008,,
오름,남좃은오름,제주특별자치도 제주시 연동 산 20-2,,
"도자기,도예촌",제주도랑 토예랑,제주특별자치도 제주시 애월읍 고하상로 104,010-3108-7651,
문화유적,제주가마오름 일제동굴진지,제주특별자치도 제주시 한경면 청수리 1171,,
산,돈대산,제주특별자치도 제주시 추자면 예초리 산 67-1,,
,함덕북촌마을길,,,
오름,상여오름,제주특별자치도 제주시 연동 1026-3,,
"관광,명소",어음리억새군락지,제주특별자치도 제주시 애월읍 어음리 산 68-5,,
동굴,용암동굴지대,제주특별자치도 제주시 한림읍 협재리 2646,,
숲,고사리숲길,제주특별자치도 제주시 한경면 조수리,,
테마파크,모노리스제주파크,제주특별자치도 제주시 애월읍 천덕로 880-24,070-4900-2230,
"산성,성곽",별도환해장성,제주특별자치도 제주시 화북일동 1537,,
오름,족은바리메,제주특별자치도 제주시 애월읍 상가리 산 124,,
"관광,명소",홍조단괴해빈,제주특별자치도 제주시 우도면,,
오름,한대오름,제주특별자치도 제주시 애월읍 봉성리 산 1,,
테마거리,신화의거리,제주특별자치도 제주시 신광로 53,,
오름,망오름,제주특별자치도 제주시 애월읍 고내리 3-1,,
오름,논오름,제주특별자치도 제주시 삼양동 558-1,,
"산성,성곽",제주읍성,제주특별자치도 제주시 오현길 61,,
오름,비치미오름,제주특별자치도 제주시 구좌읍 송당리 산 255-1,,
오름,명월오름,제주특별자치도 제주시 한림읍 명월리,,
오름,눈오름,제주특별자치도 제주시 해안동 166-17,,
"관광,명소",몰래물,제주특별자치도 제주시 도두이동 697-10,,
산봉우리,이달봉,제주특별자치도 제주시 애월읍 봉성리 산 71-1,,
섬,하추자도,제주특별자치도 제주시 추자면 묵리,,
관광단지,묘산봉관광단지,제주특별자치도 제주시 구좌읍 김녕리 5160-12,,
"관광,명소",토끼섬 문주란자생지,제주특별자치도 제주시 구좌읍 하도리 산 85,,
문화유적,제주사라봉 일제동굴진지,제주특별자치도 제주시 건입동 387-1,,
오름,권제오름,제주특별자치도 제주시 아라일동 350,,
"해수욕장,해변",모진이몽돌해변,제주특별자치도 제주시 추자면 신양리 56,,
봉수대,별도연대,제주특별자치도 제주시 화북일동 1537,,
"관광,명소",눈물의십자가,제주특별자치도 제주시 추자면,,
오름,까끄래기오름,제주특별자치도 제주시 조천읍 교래리 128-1,,
유적지,낙선동 4·3성,제주특별자치도 제주시 조천읍 선흘서5길 7,,
"관광,명소",후해석벽,제주특별자치도 제주시 우도면 연평리,,
민속촌,한림공원 재암민속마을,제주특별자치도 제주시 한림읍 협재리 2487-1,,
오름,천아오름,제주특별자치도 제주시 한림읍 상대리 1689,,
오름,웃밤,제주특별자치도 제주시 조천읍 선흘리 산 84,,
관광안내소,제주시관광안내센터,제주특별자치도 제주시 용두암길 15,,
오름,극락오름,제주특별자치도 제주시 애월읍 고성리 1032,,
유적지,수산리곰솔,제주특별자치도 제주시 애월읍 수산리 1935,,
섬,죽도,제주특별자치도 제주시 조천읍 신촌리,,
문화유적,신흥리방사탑,제주특별자치도 제주시 조천읍 신흥리 512,,
광장,어리목광장,제주특별자치도 제주시 1100로 2070-61,,
"관광,명소",다끄네물,제주특별자치도 제주시 용담삼동 1064-3,,
유적지,너븐숭이 일대,제주특별자치도 제주시 조천읍 북촌리 1179-1,,
저수지,광령저수지,제주특별자치도 제주시 애월읍 광령리,,
동굴,동안경굴,제주특별자치도 제주시 우도면 연평리 산 13,,
"탑,비석",우도해녀항일기념비,제주특별자치도 제주시 우도면 연평리,,
유적지,별도봉 일본군 진지동굴(4·3희생자 유해 발굴지),제주특별자치도 제주시 화북일동 4757-1,,
"관광,명소",환해장성,제주특별자치도 제주시 구좌읍 김녕리 476-1,,
오름,붉은오름,제주특별자치도 서귀포시 표선면 가시리 산 158,,
"관광,명소",메밀꽃밭,제주특별자치도 제주시 오라이동 산 76,,
"불상,석불",복신미륵,제주특별자치도 제주시 만덕로 13-1,,
서원,귤림서원,제주특별자치도 제주시 오현길 61,064-710-6702,
,아라동역사문화탐방로 1코스,,,
문화유적,김녕리도대불,제주특별자치도 제주시 구좌읍 김녕로17길 37-7,,
폭포,선녀폭포,제주특별자치도 제주시 해안동,,
유적지,영모원,제주특별자치도 제주시 애월읍 하귀1리 1134-1,,
오름,북돌아진 오름,제주특별자치도 제주시 애월읍 봉성리 산 41,,
오름,정월오름,제주특별자치도 제주시 한림읍 금능리 565-22,,
테마거리,수목원길,제주특별자치도 제주시 은수길 65,064-712-2100,
저수지,한천제2저류지,제주특별자치도 제주시 오등동 1834,,
"수목원,식물원",한림공원 왕벚꽃동산,제주특별자치도 제주시 한림읍 한림로 300,,
숲,월령숲길,제주특별자치도 제주시 한림읍 월림리 851-7,,
도보여행,제주올레길 15코스갈림길,제주특별자치도 제주시 한림읍 수원리 278-2,,
"관광,명소",지두청사,제주특별자치도 제주시 우도면 연평리 산 24,,
도립공원,우도해양도립공원,제주특별자치도 제주시 우도면 연평리,,
"생가,고택",김석윤가옥,제주특별자치도 제주시 진남로 44,,
유적지,관덕정 앞 광장,제주특별자치도 제주시 관덕로 19,,
"관광,명소",덩개해안,제주특별자치도 제주시 구좌읍 김녕리 462-11,,
"불상,석불",복신미륵서자복,제주특별자치도 제주시 동한두기길 7-6,064-757-2203,
섬,상추자도,제주특별자치도 제주시 추자면 영흥리,,
둘레길,나바론하늘길,제주특별자치도 제주시 추자면 대서리 산 186,,
온천,힐하우스 호텔 & 스파,제주특별자치도 제주시 한림읍 한창로 925-122,064-795-2380,
오름,돔배오름,제주특별자치도 제주시 조천읍 교래리 산 64,,
오름,도너리오름,제주특별자치도 제주시 한림읍 금악리 산 60,,
유적지,주정공장 옛터,제주특별자치도 제주시 건입동 940-4,,
오름,붉은오름,제주특별자치도 제주시 애월읍 광령리 산 183-2,,
유적지,문연사.조설대,제주특별자치도 제주시 오라이동,,
문,관음사 일주문,제주특별자치도 제주시 아라일동 산 387-2,,
"관광,명소",종달리옛소금밭,제주특별자치도 제주시 구좌읍 종달리,,
"관광,명소",편백나무숲쉼터,제주특별자치도 제주시 아라일동 산 31-8,,
산봉우리,소산봉,제주특별자치도 제주시 아라일동 산 31-7,,
도보여행,종달리해변쉼터,제주특별자치도 제주시 구좌읍 종달리 611-5,,
문화유적,낙선동4.3성터,제주특별자치도 제주시 조천읍 선흘서5길 7,,
숲,사려니숲,제주특별자치도 서귀포시 남원읍 수망리,,
숲,고성숲길,제주특별자치도 제주시 애월읍 고성리,,
동굴,중동굴,제주특별자치도 제주시 구좌읍 종달리,,
"사당,제단",제주최영장군사당,제주특별자치도 제주시 추자면 대서리 368,,
유적지,4.3사건희생자 위령탑,제주특별자치도 제주시 구좌읍 행원리 1573,,
오름,손지오름,제주특별자치도 제주시 구좌읍 종달리 산 52,,
"탑,비석",공덕비,제주특별자치도 제주시 서광로 62,,
전망대,엉불턱 우도전망대,제주특별자치도 제주시 구좌읍 종달리 451-3,,
문화유적,새미하로산당,제주특별자치도 제주시 회천동 1058,,
봉수대,두모연대,제주특별자치도 제주시 한경면 두모리 2605,,
"관광,명소",신엄리원담,제주특별자치도 제주시 애월읍 신엄리 2722,,
오름,열안지오름,제주특별자치도 제주시 오라이동 산 97,,
오름,체오름,제주특별자치도 제주시 구좌읍 덕천리 산 2,,
오름,주체오름,제주특별자치도 제주시 구좌읍 덕천리 864,,
오름,가메옥,제주특별자치도 제주시 구좌읍 덕천리 1712,,
유적지,도령모루,제주특별자치도 제주시 용담이동 1760-1,,
방조제,동복방파제,제주특별자치도 제주시 구좌읍 동복리 1585-2,,
드라이브코스,종달구좌해안도로,제주특별자치도 제주시 구좌읍 하도리,,
"도자기,도예촌",바다세라믹,제주특별자치도 제주시 구남동6길 24,,
"관광,명소",동복관광체험어장,제주특별자치도 제주시 구좌읍 동복리,,
오름,물오름,제주특별자치도 제주시 조천읍 교래리 산 137-4,,
"수목원,식물원",한림공원 야자수길,제주특별자치도 제주시 한림읍 한림로 300,,
"샘터,약수터",유수암천,제주특별자치도 제주시 애월읍 유수암리 1937,,
광장,북수구광장,제주특별자치도 제주시 일도1동 1220-9,,
오름,검은데기오름,제주특별자치도 제주시 애월읍 소길리 산 118,,
"관광,명소",원담,제주특별자치도 제주시 이호일동 1781-5,,
"탑,비석",방사탑,제주특별자치도 제주시 용담삼동 2580-55,,
도보여행,엉알길,제주특별자치도 제주시 한경면 고산리 3674-2,,
